Noise,N,0,1
0.10193904662223141,100,0.4321217361823021,1.0
0.047668108666974345,100,0.4885959400555273,1.0
0.009963869453894809,100,0.4780454978878097,1.0
0.10109956296308613,200,0.4527839431689502,1.0
0.05193671975522477,200,0.4462395731927485,1.0
0.009921952585651721,200,0.5020357033432064,1.0
0.10085027919177897,400,0.4284878463953143,1.0
0.04982767210437914,400,0.4792310245729619,1.0
0.010264865626140825,400,0.5008504631158152,1.0
0.09787977810795419,800,0.4234826623854661,1.0
0.04977222035632235,800,0.4464365418910141,1.0
0.010262218248538449,800,0.4952058516046889,1.0
0.1003938914682824,1600,0.455128478740236,1.0
0.05083580888475029,1600,0.4492748466980796,1.0
0.010064916286619062,1600,0.5075735968788879,1.0
